Dates,Primary Type,Location Description,Arrest,Domestic,Ward,Counts,District,Primary Types
2015-09-05,CRIMINAL DAMAGE,STREET,0,0,15.0,498,8,6
2015-09-05,PUBLIC PEACE VIOLATION,APARTMENT,1,0,12.0,498,9,25
2015-09-05,PUBLIC PEACE VIOLATION,RESIDENCE PORCH/HALLWAY,1,1,16.0,498,9,25
2015-08-18,THEFT,VEHICLE NON-COMMERCIAL,0,0,10.0,8,4,29
2015-09-05,BURGLARY,APARTMENT,0,0,16.0,498,9,3
2015-09-05,ASSAULT,BAR OR TAVERN,1,0,49.0,498,24,1
2015-09-05,NARCOTICS,SIDEWALK,1,0,8.0,498,4,17
2015-09-05,ROBBERY,DRUG STORE,1,0,34.0,498,5,26
2015-09-04,THEFT,STREET,0,0,26.0,179,14,29
2015-09-05,OTHER OFFENSE,STREET,0,1,37.0,498,15,22
2015-09-03,DECEPTIVE PRACTICE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,0,0,22.0,104,10,9
2015-09-05,ASSAULT,SIDEWALK,1,0,16.0,498,7,1
2015-09-05,CRIMINAL TRESPASS,SPORTS ARENA/STADIUM,1,0,2.0,498,1,8
2015-09-05,NARCOTICS,SIDEWALK,1,0,21.0,498,22,17
2015-08-25,OTHER OFFENSE,APARTMENT,0,1,5.0,17,3,22
2015-09-05,THEFT,STREET,0,0,2.0,498,11,29
2015-09-05,OTHER OFFENSE,RESIDENCE,0,0,8.0,498,5,22
2015-09-05,CRIMINAL DAMAGE,STREET,1,0,7.0,498,4,6
2015-09-02,BATTERY,APARTMENT,0,1,3.0,64,9,2
2015-09-05,THEFT,SIDEWALK,0,0,2.0,498,1,29
2015-09-05,THEFT,PARK PROPERTY,1,0,27.0,498,12,29
2015-09-05,WEAPONS VIOLATION,SIDEWALK,1,0,27.0,498,12,30
2015-09-05,BATTERY,SIDEWALK,0,0,46.0,498,19,2
2015-09-05,BATTERY,APARTMENT,0,1,49.0,498,24,2
2015-09-05,NARCOTICS,SIDEWALK,1,0,24.0,498,11,17
2015-09-04,THEFT,APARTMENT,0,0,50.0,179,24,29
2015-09-05,THEFT,SIDEWALK,0,0,44.0,498,19,29
2015-09-05,BATTERY,RESIDENCE,1,1,18.0,498,8,2
2015-09-05,BATTERY,PARK PROPERTY,0,0,43.0,498,18,2
2015-09-05,NARCOTICS,STREET,1,0,16.0,498,8,17
2015-09-05,BURGLARY,OTHER,0,0,31.0,498,25,3
2015-09-05,BATTERY,ALLEY,0,1,30.0,498,25,2
2015-09-05,THEFT,DRUG STORE,1,0,50.0,498,24,29
2015-09-05,CRIMINAL DAMAGE,STREET,0,0,35.0,498,25,6
2015-09-05,OTHER OFFENSE,APARTMENT,0,0,46.0,498,19,22
2015-09-05,BATTERY,RESIDENCE,1,1,11.0,498,9,2
2015-04-08,CRIMINAL DAMAGE,STREET,0,0,38.0,5,16,6
2015-09-05,NARCOTICS,RESIDENCE PORCH/HALLWAY,1,0,37.0,498,15,17
2015-09-04,CRIMINAL DAMAGE,STREET,0,0,50.0,179,24,6
2015-09-05,THEFT,OTHER,1,0,24.0,498,10,29
2015-08-29,CRIMINAL DAMAGE,RESIDENCE,0,0,22.0,18,10,6
2015-09-05,WEAPONS VIOLATION,SIDEWALK,1,0,34.0,498,5,30
2015-09-05,DECEPTIVE PRACTICE,DEPARTMENT STORE,0,0,47.0,498,19,9
2015-09-05,BATTERY,STREET,0,0,24.0,498,10,2
2015-09-05,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),1,0,7.0,498,4,17
2015-09-05,BATTERY,RESIDENCE,0,1,24.0,498,10,2
2015-09-05,NARCOTICS,SIDEWALK,1,0,24.0,498,11,17
2015-08-29,CRIMINAL DAMAGE,SIDEWALK,0,0,44.0,18,19,6
2015-09-04,DECEPTIVE PRACTICE,RESTAURANT,0,0,6.0,179,6,9
2015-09-05,BATTERY,PARKING LOT/GARAGE(NON.RESID.),0,1,9.0,498,5,2
2015-09-05,BATTERY,ALLEY,0,1,46.0,498,19,2
2015-09-05,BURGLARY,APARTMENT,0,0,34.0,498,5,3
2015-09-04,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,0,0,21.0,179,22,6
2015-09-05,NARCOTICS,OTHER,1,0,15.0,498,7,17
2015-09-05,BATTERY,SIDEWALK,0,1,6.0,498,7,2
2015-09-05,BATTERY,CONSTRUCTION SITE,1,0,2.0,498,12,2
2015-09-05,OTHER OFFENSE,STREET,1,1,40.0,498,17,22
2015-09-05,BATTERY,SIDEWALK,1,1,6.0,498,6,2
2015-09-05,CRIMINAL DAMAGE,APARTMENT,0,1,5.0,498,4,6
2015-09-05,CRIMINAL DAMAGE,RESIDENCE,0,1,10.0,498,4,6
2015-09-05,THEFT,DEPARTMENT STORE,1,0,36.0,498,25,29
2015-09-05,BATTERY,SIDEWALK,0,0,7.0,498,4,2
2015-09-05,NARCOTICS,ALLEY,1,0,29.0,498,15,17
2015-09-05,ASSAULT,STREET,0,0,26.0,498,14,1
2015-09-04,CRIMINAL DAMAGE,RESIDENCE-GARAGE,0,0,50.0,179,24,6
2015-09-05,THEFT,SIDEWALK,0,0,22.0,498,10,29
2015-09-01,BATTERY,RESIDENCE,0,0,1.0,66,14,2
2015-09-05,THEFT,RESTAURANT,0,0,1.0,498,14,29
2015-09-03,BURGLARY,RESIDENCE,0,0,7.0,104,4,3
2015-08-18,DECEPTIVE PRACTICE,RESIDENCE,0,0,8.0,8,4,9
2015-09-05,BATTERY,SIDEWALK,0,0,7.0,498,4,2
2015-09-05,BATTERY,SIDEWALK,0,1,7.0,498,4,2
2015-09-05,CRIMINAL TRESPASS,APARTMENT,1,0,20.0,498,3,8
2015-09-05,NARCOTICS,SIDEWALK,1,0,46.0,498,19,17
2015-09-05,THEFT,STREET,0,0,7.0,498,4,29
2015-09-05,BATTERY,SIDEWALK,1,1,4.0,498,2,2
2015-09-05,NARCOTICS,STREET,1,0,6.0,498,6,17
2015-09-05,THEFT,RESTAURANT,0,0,2.0,498,1,29
2015-09-05,CRIMINAL DAMAGE,APARTMENT,0,0,47.0,498,20,6
2015-09-03,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,50.0,104,24,29
2015-09-05,ASSAULT,RESIDENTIAL YARD (FRONT/BACK),0,0,40.0,498,24,1
2015-09-05,NARCOTICS,STREET,1,0,37.0,498,25,17
2015-09-05,CRIMINAL TRESPASS,HOSPITAL BUILDING/GROUNDS,1,0,2.0,498,12,8
2015-09-05,PUBLIC PEACE VIOLATION,RESTAURANT,1,0,10.0,498,4,25
2015-09-05,CRIMINAL TRESPASS,CHA PARKING LOT/GROUNDS,0,0,7.0,498,4,8
2015-09-05,NARCOTICS,RESIDENTIAL YARD (FRONT/BACK),1,0,22.0,498,10,17
2015-09-05,BATTERY,SIDEWALK,1,0,26.0,498,12,2
2015-09-05,BATTERY,ALLEY,0,1,12.0,498,9,2
2015-09-05,BATTERY,SIDEWALK,0,0,27.0,498,25,2
2015-09-05,THEFT,STREET,0,0,27.0,498,12,29
2015-09-05,NARCOTICS,CTA STATION,1,0,6.0,498,6,17
2015-09-05,OTHER OFFENSE,SIDEWALK,1,0,44.0,498,19,22
2015-09-05,BURGLARY,APARTMENT,0,0,8.0,498,6,3
2015-09-05,MOTOR VEHICLE THEFT,STREET,1,0,11.0,498,9,16
2015-09-05,PUBLIC PEACE VIOLATION,STREET,1,0,24.0,498,11,25
2015-09-05,CRIMINAL DAMAGE,APARTMENT,0,0,4.0,498,2,6
2015-09-05,BATTERY,SIDEWALK,0,0,30.0,498,17,2
2015-09-05,BATTERY,APARTMENT,0,1,39.0,498,17,2
2015-09-05,CRIMINAL TRESPASS,VEHICLE NON-COMMERCIAL,1,0,15.0,498,8,8
2015-09-05,NARCOTICS,STREET,1,0,6.0,498,7,17
2015-09-05,CRIMINAL DAMAGE,BAR OR TAVERN,0,0,1.0,498,14,6
2015-09-03,BATTERY,SIDEWALK,0,0,32.0,104,14,2
2015-09-05,ROBBERY,STREET,0,0,3.0,498,9,26
2015-09-05,BURGLARY,RESTAURANT,0,0,1.0,498,14,3
2015-09-05,BURGLARY,APARTMENT,0,0,11.0,498,9,3
2015-09-05,MOTOR VEHICLE THEFT,ALLEY,0,0,37.0,498,25,16
2015-09-05,BATTERY,TAVERN/LIQUOR STORE,0,0,44.0,498,19,2
2015-09-05,THEFT,SIDEWALK,0,0,16.0,498,7,29
2015-09-05,ASSAULT,STREET,0,0,27.0,498,12,1
2015-09-05,BATTERY,STREET,0,0,7.0,498,4,2
2015-09-05,THEFT,HOSPITAL BUILDING/GROUNDS,0,0,32.0,498,12,29
2015-09-05,PROSTITUTION,STREET,1,0,12.0,498,9,23
2015-09-05,ASSAULT,PARK PROPERTY,0,0,46.0,498,19,1
2015-09-05,BATTERY,APARTMENT,1,1,22.0,498,10,2
2015-09-05,ASSAULT,RESIDENCE,0,0,7.0,498,4,1
2015-09-05,BATTERY,RESIDENCE,1,0,20.0,498,7,2
2015-09-03,OTHER OFFENSE,SMALL RETAIL STORE,0,0,20.0,104,9,22
2015-09-04,THEFT,STREET,0,0,27.0,179,12,29
2015-09-05,BATTERY,APARTMENT,0,0,27.0,498,11,2
2015-09-05,ROBBERY,CHA HALLWAY/STAIRWELL/ELEVATOR,1,0,1.0,498,19,26
2015-09-05,OTHER OFFENSE,CONVENIENCE STORE,0,0,12.0,498,9,22
2015-09-05,ROBBERY,SIDEWALK,0,0,28.0,498,11,26
2015-09-05,NARCOTICS,SIDEWALK,1,0,37.0,498,15,17
2015-09-05,BATTERY,RESIDENCE,0,0,30.0,498,25,2
2015-09-05,BATTERY,SIDEWALK,0,0,36.0,498,25,2
2015-09-05,CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK),1,0,46.0,498,19,8
2015-09-05,BATTERY,STREET,0,0,26.0,498,14,2
2015-09-05,BATTERY,WAREHOUSE,0,0,27.0,498,12,2
2015-09-05,PUBLIC PEACE VIOLATION,STREET,1,0,37.0,498,15,25
2015-09-05,CRIMINAL DAMAGE,STREET,1,0,29.0,498,15,6
2015-09-05,BATTERY,SIDEWALK,0,0,17.0,498,7,2
2015-09-05,CRIMINAL DAMAGE,STREET,0,1,33.0,498,17,6
2015-09-05,GAMBLING,SIDEWALK,1,0,20.0,498,7,10
2015-09-05,BATTERY,STREET,0,0,17.0,498,7,2
2015-09-05,MOTOR VEHICLE THEFT,STREET,0,0,17.0,498,7,16
2015-09-05,BATTERY,RESIDENCE,0,1,20.0,498,7,2
2015-09-05,BATTERY,RESIDENCE,0,1,17.0,498,7,2
2015-09-05,BATTERY,SIDEWALK,0,0,45.0,498,16,2
2015-09-05,WEAPONS VIOLATION,SIDEWALK,1,0,16.0,498,8,30
2015-09-06,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),1,0,7.0,776,4,17
2015-09-06,OTHER OFFENSE,SIDEWALK,1,0,30.0,776,25,22
2015-09-05,DECEPTIVE PRACTICE,VEHICLE NON-COMMERCIAL,1,0,28.0,498,11,9
2015-09-05,NARCOTICS,STREET,1,0,15.0,498,7,17
2015-09-06,NARCOTICS,SIDEWALK,1,0,2.0,776,11,17
2015-09-06,NARCOTICS,SIDEWALK,1,0,5.0,776,3,17
2015-09-05,ASSAULT,PARK PROPERTY,1,1,40.0,498,20,1
2015-09-05,WEAPONS VIOLATION,SIDEWALK,1,0,29.0,498,15,30
2015-09-06,ASSAULT,APARTMENT,0,0,46.0,776,20,1
2015-09-06,INTERFERENCE WITH PUBLIC OFFICER,STREET,1,0,38.0,776,16,12
2015-09-06,NARCOTICS,SIDEWALK,1,0,2.0,776,1,17
2015-09-01,THEFT,HOTEL/MOTEL,0,0,40.0,66,20,29
2015-09-05,OFFENSE INVOLVING CHILDREN,ALLEY,0,0,15.0,498,8,20
2015-09-01,THEFT,APARTMENT,0,0,4.0,66,2,29
2015-09-03,MOTOR VEHICLE THEFT,STREET,0,0,16.0,104,7,16
2015-09-05,WEAPONS VIOLATION,STREET,1,0,5.0,498,3,30
2015-09-06,OTHER OFFENSE,STREET,1,0,24.0,776,10,22
2015-09-05,BATTERY,STREET,0,1,37.0,498,15,2
2015-09-06,BATTERY,BAR OR TAVERN,1,0,42.0,776,18,2
2015-09-05,THEFT,STREET,0,0,6.0,498,3,29
2015-09-06,CRIMINAL DAMAGE,RESIDENCE,0,0,30.0,776,25,6
2015-09-06,THEFT,APARTMENT,0,0,31.0,776,25,29
2015-09-05,BURGLARY,RESIDENCE,0,0,8.0,498,6,3
2015-09-05,CRIMINAL DAMAGE,RESIDENCE-GARAGE,0,0,26.0,498,12,6
2015-09-05,PUBLIC PEACE VIOLATION,STREET,1,0,46.0,498,19,25
2015-09-05,BURGLARY,APARTMENT,0,0,20.0,498,2,3
2015-09-05,THEFT,COMMERCIAL / BUSINESS OFFICE,0,0,42.0,498,1,29
2015-09-05,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,21.0,498,22,29
2015-09-05,THEFT,OTHER,0,0,10.0,498,5,29
2015-09-05,MOTOR VEHICLE THEFT,STREET,0,0,40.0,498,24,16
2015-09-05,CRIMINAL DAMAGE,APARTMENT,0,0,20.0,498,2,6
2015-09-05,NARCOTICS,APARTMENT,1,1,27.0,498,11,17
2015-09-05,OTHER OFFENSE,RESIDENCE,0,0,49.0,498,24,22
2015-09-06,ROBBERY,SIDEWALK,0,0,4.0,776,2,26
2015-09-05,CRIMINAL DAMAGE,APARTMENT,0,0,20.0,498,2,6
2015-09-05,ASSAULT,RESIDENCE,0,1,50.0,498,24,1
2015-09-05,BATTERY,SIDEWALK,0,0,27.0,498,12,2
2015-09-05,BATTERY,SIDEWALK,0,1,24.0,498,10,2
2015-09-05,BATTERY,ALLEY,1,0,27.0,498,11,2
2015-09-06,CRIMINAL DAMAGE,RESTAURANT,0,0,22.0,776,10,6
2015-09-06,BATTERY,CHA PARKING LOT/GROUNDS,0,0,21.0,776,6,2
2015-09-06,CRIMINAL DAMAGE,STREET,0,0,24.0,776,10,6
2015-09-06,ASSAULT,APARTMENT,0,1,20.0,776,3,1
2015-09-06,BATTERY,RESIDENCE,0,1,28.0,776,11,2
2015-09-06,CRIMINAL DAMAGE,APARTMENT,0,0,2.0,776,11,6
2015-09-04,OTHER OFFENSE,RESIDENTIAL YARD (FRONT/BACK),0,0,5.0,179,3,22
2015-09-05,ASSAULT,RESIDENCE PORCH/HALLWAY,0,0,6.0,498,3,1
2015-09-06,OTHER OFFENSE,ALLEY,0,1,2.0,776,11,22
2015-09-06,CRIMINAL DAMAGE,STREET,0,0,28.0,776,15,6
2015-09-06,WEAPONS VIOLATION,STREET,0,0,17.0,776,7,30
2015-09-06,INTERFERENCE WITH PUBLIC OFFICER,SIDEWALK,1,0,20.0,776,3,12
2015-09-06,BATTERY,SIDEWALK,1,0,31.0,776,25,2
2015-09-06,BATTERY,SIDEWALK,1,0,44.0,776,19,2
2015-09-06,BATTERY,SIDEWALK,0,1,31.0,776,25,2
