rating,movie,year,country,rating_ball,overview,director,screenwriter,actors,url_logo
10,Жизнь прекрасна ,1997,Италия,8.624,Во время II Мировой войны в Италии в концлагерь были отправлены евреи; отец и его маленький сын. Жена; итальянка; добровольно последовала вслед за ними. В лагере отец сказал сыну; что все происходящее вокруг является очень большой игрой за приз в настоящий танк; который достанется тому мальчику; который сможет не попасться на глаза надзирателям., Роберто Бениньи, Винченцо Черами;  Роберто Бениньи,Роберто Бениньи; Николетта Браски; Джорджио Кантарини; Джустино Дурано; Серджио Бини Бустрик,'https://st.kp.yandex.net/images/film_iphone/iphone360_381.jpg'
11,Достучаться до небес ,1997,Германия,8.629,Судьба сводит героев картины в больнице; где врачи выносят им смертный приговор. Счет времени их жизней идет на часы. Дальнейшие события в фильме разворачиваются в стремительном темпе. Украв машину с миллионом немецких марок в багажнике; они сбегают из больницы.Их преследуют наемные убийцы; они становятся грабителями поневоле; за ними гонится полиция; они попадают в бордель. Но тем не менее продолжают мчаться вперед; навстречу своей судьбе., Томас Ян, Томас Ян;  Тиль Швайгер,Тиль Швайгер; Ян Йозеф Лиферс; Тьерри Ван Вервеке; Мориц Бляйбтрой; Хуб Стапель,'https://st.kp.yandex.net/images/film_iphone/iphone360_32898.jpg'
12,Крестный отец ,1972,США,8.732,Криминальная сага; повествующая о нью-йоркской сицилийской мафиозной семье Корлеоне. Фильм охватывает период 1945-1955 годов.Глава семьи; Дон Вито Корлеоне; выдаёт замуж свою дочь. В это время со Второй мировой войны возвращается его любимый сын Майкл. Майкл; герой войны; гордость семьи; не выражает желания заняться жестоким семейным бизнесом. Дон Корлеоне ведёт дела по старым правилам; но наступают иные времена; и появляются люди; желающие изменить сложившиеся порядки. На Дона Корлеоне совершается покушение., Фрэнсис Форд Коппола, Марио Пьюзо;  Фрэнсис Форд Коппола,Марлон Брандо; Аль Пачино; Джеймс Каан; Роберт Дювалл; Ричард С. Кастеллано,'https://st.kp.yandex.net/images/film_iphone/iphone360_325.jpg'
13,Криминальное чтиво ,1994,США,8.619,Двое бандитов Винсент Вега и Джулс Винфилд ведут философские беседы в перерывах между разборками и решением проблем с должниками криминального босса Марселласа Уоллеса.В первой истории Винсент проводит незабываемый вечер с женой Марселласа Мией. Во второй рассказывается о боксёре Бутче Кулидже; купленном Уоллесом; чтобы сдать бой. В третьей истории Винсент и Джулс по нелепой случайности попадают в неприятности., Квентин Тарантино, Квентин Тарантино;  Роджер Эвери,Джон Траволта; Сэмюэл Л. Джексон; Брюс Уиллис; Ума Турман; Винг Реймз,'https://st.kp.yandex.net/images/film_iphone/iphone360_342.jpg'
14,Операция «Ы» и другие приключения Шурика ,1965,СССР,8.712,Фильм состоит из трех новелл; объединенных фигурой главного героя Шурика; попадающего в самые невероятные ситуации. В «Напарнике» Шурик сражается с хулиганом Верзилой; в «Наваждении» весьма оригинальным способом готовится к экзамену; в «Операции «Ы» предотвращает «ограбление века»; на которое идет знаменитая тройка — Балбес; Трус и Бывалый., Леонид Гайдай, Леонид Гайдай;  Яков Костюковский;  Морис Слободской,Александр Демьяненко; Наталья Селезнёва; Алексей Смирнов; Юрий Никулин; Евгений Моргунов,'https://st.kp.yandex.net/images/film_iphone/iphone360_42782.jpg'
15,Престиж ,2006,США,8.523,Роберт и Альфред — фокусники-иллюзионисты; которые на рубеже XIX и XX веков соперничали друг с другом в Лондоне. С годами их дружеская конкуренция на профессиональной почве перерастает в настоящую войну.Они готовы на все; чтобы выведать друг у друга секреты фантастических трюков и сорвать их исполнение. Непримиримая вражда; вспыхнувшая между ними; начинает угрожать жизни окружающих их людей…, Кристофер Нолан, Джонатан Нолан;  Кристофер Нолан;  Кристофер Прист,Хью Джекман; Кристиан Бэйл; Майкл Кейн; Пайпер Перабо; Ребекка Холл,'https://st.kp.yandex.net/images/film_iphone/iphone360_195334.jpg'
16,Игры разума ,2001,США,8.555,От всемирной известности до греховных глубин — все это познал на своей шкуре Джон Форбс Нэш-младший. Математический гений; он на заре своей карьеры сделал титаническую работу в области теории игр; которая перевернула этот раздел математики и практически принесла ему международную известность.Однако буквально в то же время заносчивый и пользующийся успехом у женщин Нэш получает удар судьбы; который переворачивает уже его собственную жизнь., Рон Ховард, Акива Голдсман;  Сильвия Насар,Рассел Кроу; Эд Харрис; Дженнифер Коннелли; Кристофер Пламмер; Пол Беттани,'https://st.kp.yandex.net/images/film_iphone/iphone360_530.jpg'
17,Интерстеллар ,2014,США,8.591,Когда засуха; пыльные бури и вымирание растений приводят человечество к продовольственному кризису; коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие; чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями., Кристофер Нолан, Джонатан Нолан;  Кристофер Нолан,Мэттью МакКонахи; Энн Хэтэуэй; Джессика Честейн; Маккензи Фой; Майкл Кейн,'https://st.kp.yandex.net/images/film_iphone/iphone360_258687.jpg'
18,Властелин колец: Возвращение Короля ,2003,Новая Зеландия,8.623,Последняя часть трилогии о Кольце Всевластия и о героях; взявших на себя бремя спасения Средиземья. Повелитель сил Тьмы Саурон направляет свои бесчисленные рати под стены Минас-Тирита; крепости Последней Надежды. Он предвкушает близкую победу; но именно это и мешает ему заметить две крохотные фигурки — хоббитов; приближающихся к Роковой Горе; где им предстоит уничтожить Кольцо Всевластия. Улыбнется ли им счастье?, Питер Джексон, Фрэн Уолш;  Филиппа Бойенс;  Питер Джексон; ...,Элайджа Вуд; Вигго Мортенсен; Шон Эстин; Иэн Маккеллен; Орландо Блум,'https://st.kp.yandex.net/images/film_iphone/iphone360_3498.jpg'
19,Гладиатор ,2000,США,8.577,В великой Римской империи не было военачальника; равного генералу Максимусу. Непобедимые легионы; которыми командовал этот благородный воин; боготворили его и могли последовать за ним даже в ад.Но случилось так; что отважный Максимус; готовый сразиться с любым противником в честном бою; оказался бессилен против вероломных придворных интриг. Генерала предали и приговорили к смерти. Чудом избежав гибели; Максимус становится гладиатором.Быстро снискав себе славу в кровавых поединках; он оказывается в знаменитом римском Колизее; на арене которого он встретится в смертельной схватке со своим заклятым врагом…, Ридли Скотт, Дэвид Францони;  Джон Логан;  Уильям Николсон,Рассел Кроу; Хоакин Феникс; Конни Нильсен; Оливер Рид; Ричард Харрис,'https://st.kp.yandex.net/images/film_iphone/iphone360_474.jpg'
20,Назад в будущее ,1985,США,8.626,Подросток Марти с помощью машины времени; сооружённой его другом-профессором доком Брауном; попадает из 80-х в далекие 50-е. Там он встречается со своими будущими родителями; ещё подростками; и другом-профессором; совсем молодым., Роберт Земекис, Роберт Земекис;  Боб Гейл,Майкл Дж. Фокс; Кристофер Ллойд; Лиа Томпсон; Криспин Гловер; Томас Ф. Уилсон,'https://st.kp.yandex.net/images/film_iphone/iphone360_476.jpg'
21,Карты; деньги; два ствола ,1998,Великобритания,8.547,Четверо молодых парней накопили каждый по 25 тысяч фунтов; чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником; известным по кличке Гарри-Топор. Парень в итоге проиграл 500 тысяч; на уплату долга ему дали неделю.В противном случае и ему и его «спонсорам» каждый день будут отрубать по пальцу; а потом… Чтобы выйти из положения; ребята решили ограбить бандитов; решивших ограбить трех «ботаников»; выращивающих марихуану для местного наркобарона. Но на этом приключения четверки не заканчиваются…, Гай Ричи, Гай Ричи,Джейсон Флеминг; Декстер Флетчер; Ник Моран; Джейсон Стэйтем; Стивен Макинтош,'https://st.kp.yandex.net/images/film_iphone/iphone360_522.jpg'
22,Матрица ,1999,США,8.490,Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник; получающий нагоняи от начальства; а ночью превращается в хакера по имени Нео; и нет места в сети; куда он не смог бы дотянуться. Но однажды всё меняется — герой; сам того не желая; узнаёт страшную правду: всё; что его окружает — не более; чем иллюзия; Матрица; а люди — всего лишь источник питания для искусственного интеллекта; поработившего человечество. И только Нео под силу изменить расстановку сил в этом чужом и страшном мире., Лана Вачовски;  Лилли Вачовски, Лилли Вачовски;  Лана Вачовски,Киану Ривз; Лоренс Фишбёрн; Кэрри-Энн Мосс; Хьюго Уивинг; Глория Фостер,'https://st.kp.yandex.net/images/film_iphone/iphone360_301.jpg'
23,Бриллиантовая рука ,1968,СССР,8.516,В южном городке орудует шайка «валютчиков»; возглавляемая Шефом и его помощником Графом (в быту — Геной Козодоевым). Скромный советский служащий и примерный семьянин Семен Семенович Горбунков отправляется в зарубежный круиз на теплоходе; на котором также плывет Граф; который должен забрать бриллианты в одном из восточных городов и провезти их в загипсованной руке. Но в силу недоразумения вместо жулика на условленном месте падает ничего не подозревающий Семен Семенович; и драгоценный гипс накладывают ему. Вот тут-то все и начинается…, Леонид Гайдай, Леонид Гайдай;  Морис Слободской;  Яков Костюковский,Юрий Никулин; Андрей Миронов; Анатолий Папанов; Нина Гребешкова; Станислав Чекан,'https://st.kp.yandex.net/images/film_iphone/iphone360_46225.jpg'
24,Отступники ,2006,США,8.455,Два лучших выпускника полицейской академии оказались по разные стороны баррикады: один из них — агент мафии в рядах правоохранительных органов; другой — «крот»; внедрённый в мафию. Каждый считает своим долгом обнаружить и уничтожить противника; но постоянная жизнь в искажённых реалиях меняет внутренний мир героев., Мартин Скорсезе, Уильям Монахэн;  Алан Мак;  Феликс Чон,Леонардо ДиКаприо; Мэтт Дэймон; Джек Николсон; Марк Уолберг; Мартин Шин,'https://st.kp.yandex.net/images/film_iphone/iphone360_81314.jpg'
25,Поймай меня; если сможешь ,2002,США,8.513,Фрэнк Эбегнейл успел поработать врачом; адвокатом и пилотом на пассажирской авиалинии — и все это до достижения полного совершеннолетия в 21 год. Мастер в обмане и жульничестве; он также обладал искусством подделки документов; что в конечном счете принесло ему миллионы долларов; которые он получил по фальшивым чекам.Агент ФБР Карл Хэнрэтти отдал бы все; чтобы схватить Фрэнка и привлечь к ответственности за свои деяния; но Фрэнк всегда опережает его на шаг; заставляя продолжать погоню., Стивен Спилберг, Джефф Натансон;  Фрэнк Эбегнейл мл.;  Стэн Реддинг,Леонардо ДиКаприо; Том Хэнкс; Кристофер Уокен; Мартин Шин; Натали Бай,'https://st.kp.yandex.net/images/film_iphone/iphone360_324.jpg'
26,Пианист ,2002,Польша,8.462,Фильм снят по автобиографии Владислава Шпильмана; одного из лучших пианистов Польши 30-х годов прошлого века. Главный герой фильма — Владек — занимается искусством до тех пор; пока территорию Польши не занимают нацисты. Жизнь всех евреев меняется: их помещают в Варшавское гетто; запрещают работать; унижают; заставляют носить отличительные повязки; а через некоторое время отправляют в концлагерь., Роман Полански, Рональд Харвуд;  Владислав Шпильман,Эдриан Броуди; Эмилия Фокс; Даниэль Кальтаджироне; Эд Стоппард; Морин Липман,'https://st.kp.yandex.net/images/film_iphone/iphone360_355.jpg'
27,Властелин колец: Братство кольца ,2001,США,8.570,Сказания о Средиземье — это хроника Великой войны за Кольцо; войны; длившейся не одну тысячу лет. Тот; кто владел Кольцом; получал власть над всеми живыми тварями; но был обязан служить злу. Тихая деревня; где живут хоббиты. Волшебник Гэндальф; придя на 111-й день рождения к своему старому другу Бильбо Бэггинсу; начинает вести разговор о кольце; которое Бильбо нашел много лет назад. Это кольцо принадлежало когда-то темному властителю Средиземья Саурону; и оно дает большую власть своему обладателю. Теперь Саурон хочет вернуть себе власть над Средиземьем. Бильбо отдает найденное кольцо своему племяннику Фродо; который пытается научиться справляться с тем страшным могуществом; которое дает ему кольцо…, Питер Джексон, Фрэн Уолш;  Филиппа Бойенс;  Питер Джексон; ...,Элайджа Вуд; Иэн Маккеллен; Шон Эстин; Вигго Мортенсен; Билли Бойд,'https://st.kp.yandex.net/images/film_iphone/iphone360_328.jpg'
28,В бой идут одни «старики» ,1973,СССР,8.709,"Эта эскадрилья стала «поющей» — так капитан Титаренко подбирал себе новичков. Его «старикам» было не больше двадцати; но «желторотиков»; пополнение из летных училищ ускоренного выпуска; в бой все равно; по возможности; не пускали. 

Им еще многое предстояло испытать — и жар боев; и радость первой победы над врагом; и величие братства; скрепленного кровью; и первую любовь; и горечь утраты… И настанет день; когда по команде «в бой идут одни старики» бывшие желторотики бросятся к своим самолетам…", Леонид Быков, Леонид Быков;  Евгений Оноприенко;  Александр Сацкий,Леонид Быков; Сергей Подгорный; Сергей Иванов; Рустам Сагдуллаев; Евгения Симонова,'https://st.kp.yandex.net/images/film_iphone/iphone360_25108.jpg'
29,ВАЛЛ·И ,2008,США,8.307,Робот ВАЛЛ·И из года в год прилежно трудится на опустевшей Земле; очищая нашу планету от гор мусора; которые оставили после себя улетевшие в космос люди. Он и не представляет; что совсем скоро произойдут невероятные события; благодаря которым он встретит друзей; поднимется к звездам и даже сумеет изменить к лучшему своих бывших хозяев; совсем позабывших родную Землю., Эндрю Стэнтон, Эндрю Стэнтон;  Джим Рирдон;  Пит Доктер,Бен Бертт; Элисса Найт; Джефф Гарлин; Фред Уиллард; Джон Ратценбергер,'https://st.kp.yandex.net/images/film_iphone/iphone360_279102.jpg'
30,Тайна Коко ,2017,США,8.608,12-летний Мигель живёт в мексиканской деревушке в семье сапожников и тайно мечтает стать музыкантом. Тайно — потому что в его семейном клане музыка считается проклятием. Когда-то его прапрадед оставил свою жену; прапрабабку Мигеля; ради мечты; которая теперь не даёт спокойно жить Мигелю. С тех пор музыкальная тема в семье стала табу. Мигель обнаруживает; что между ним и его любимым певцом Эрнесто де ла Крусом; ныне покойным; существует некая — пока неназванная — связь. Паренёк отправляется к своему кумиру в Страну Мёртвых; где встречает души своих предков. Мигель знакомится там с духом-трикстером по имени Гектор (в облике скелета); который становится его проводником. Вдвоём они отправляются на поиски де ла Круса., Ли Анкрич;  Эдриан Молина, Мэттью Олдрич;  Эдриан Молина;  Ли Анкрич; ...,Энтони Гонсалес; Гаэль Гарсиа Берналь; Бенджамин Брэтт; Аланна Юбак; Рене Виктор,'https://st.kp.yandex.net/images/film_iphone/iphone360_679486.jpg'
31,Большой куш ,2000,Великобритания,8.536,Четырехпалый Френки должен был переправить краденый алмаз из Англии в США своему боссу Эви. Но вместо этого герой попадает в эпицентр больших неприятностей. Сделав ставку на подпольном боксерском поединке; Френки попадает в круговорот весьма нежелательных событий.Вокруг героя и его груза разворачивается сложная интрига с участием множества колоритных персонажей лондонского дна — русского гангстера; троих незадачливых грабителей; хитрого боксера и угрюмого громилы грозного мафиози. Каждый норовит в одиночку сорвать Большой Куш., Гай Ричи, Гай Ричи,Джейсон Стэйтем; Стивен Грэм; Брэд Питт; Алан Форд; Робби Ги,'https://st.kp.yandex.net/images/film_iphone/iphone360_526.jpg'
32,Властелин колец: Две крепости ,2002,Новая Зеландия,8.566,Братство распалось; но Кольцо Всевластья должно быть уничтожено. Фродо и Сэм вынуждены доверить свои жизни Голлуму; который взялся провести их к вратам Мордора. Громадная Армия Сарумана приближается: члены братства и их союзники готовы принять бой. Битва за Средиземье продолжается., Питер Джексон, Фрэн Уолш;  Филиппа Бойенс;  Стивен Синклер; ...,Элайджа Вуд; Иэн Маккеллен; Вигго Мортенсен; Лив Тайлер; Шон Эстин,'https://st.kp.yandex.net/images/film_iphone/iphone360_312.jpg'
33,Американская история X ,1998,США,8.296,Лидер местной банды скинхедов Дерек Виньярд прочно удерживает авторитет в своём районе. Убеждённый в своей правоте; он беспощадно расправляется с теми; кто имеет не белый цвет кожи. Независимость и смелость Дерека вызывают восхищение у его младшего брата Дэнни; который уже тоже сделал свой выбор.Но зверское убийство двух чернокожих парней; совершённое Дереком; разделяет дороги братьев: Дерек оказывается в тюрьме; где существует свой расклад сил; а Дэнни на свободе успешно продолжает дело брата. До тех пор; пока их пути не пересеклись вновь…, Тони Кэй, Дэвид МакКенна,Эдвард Нортон; Эдвард Ферлонг; Беверли Д’Анджело; Дженнифер Лиен; Итан Сапли,'https://st.kp.yandex.net/images/film_iphone/iphone360_382.jpg'
34,Джентльмены удачи ,1971,СССР,8.526,Заведующему детсадом Трошкину фатально не повезло: он оказался как две капли воды похож на бандита по кличке «Доцент»; похитившего уникальный шлем Александра Македонского.Милиция внедряет добряка Трошкина в воровскую среду — и ему ничего не остается; кроме как старательно изображать своего двойника-злодея; путая всех окружающих. Со временем он настолько блестяще входит в роль; что сам начинает порой приходить в ужас. Между тем; жизни его угрожает смертельная опасность…, Александр Серый, Георгий Данелия;  Виктория Токарева,Евгений Леонов; Георгий Вицин; Раднэр Муратов; Савелий Крамаров; Наталья Фатеева,'https://st.kp.yandex.net/images/film_iphone/iphone360_44386.jpg'
35,Пираты Карибского моря: Проклятие Черной жемчужины ,2003,США,8.334,Жизнь харизматичного авантюриста; капитана Джека Воробья; полная увлекательных приключений; резко меняется; когда его заклятый враг — капитан Барбосса — похищает корабль Джека; Черную Жемчужину; а затем нападает на Порт Ройал и крадет прекрасную дочь губернатора; Элизабет Свонн.Друг детства Элизабет; Уилл Тернер; вместе с Джеком возглавляет спасательную экспедицию на самом быстром корабле Британии; в попытке вызволить девушку из плена и заодно отобрать у злодея Черную Жемчужину. Вслед за этой парочкой отправляется амбициозный коммодор Норрингтон; который к тому же числится женихом Элизабет.Однако Уилл не знает; что над Барбоссой висит вечное проклятие; при лунном свете превращающее его с командой в живых скелетов. Проклятье будет снято лишь тогда; когда украденное золото Ацтеков будет возвращено пиратами на старое место., Гор Вербински, Тед Эллиот;  Терри Россио;  Стюарт Битти; ...,Джонни Депп; Джеффри Раш; Орландо Блум; Кира Найтли; Джек Девенпорт,'https://st.kp.yandex.net/images/film_iphone/iphone360_4374.jpg'
36,Остров проклятых ,2009,США,8.493,Два американских судебных пристава отправляются на один из островов в штате Массачусетс; чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. При проведении расследования им придется столкнуться с паутиной лжи; обрушившимся ураганом и смертельным бунтом обитателей клиники., Мартин Скорсезе, Лаэта Калогридис;  Деннис Лихейн,Леонардо ДиКаприо; Марк Руффало; Бен Кингсли; Макс фон Сюдов; Мишель Уильямс,'https://st.kp.yandex.net/images/film_iphone/iphone360_397667.jpg'
37,Темный рыцарь ,2008,США,8.499,Бэтмен поднимает ставки в войне с криминалом. С помощью лейтенанта Джима Гордона и прокурора Харви Дента он намерен очистить улицы от преступности; отравляющей город. Сотрудничество оказывается эффективным; но скоро они обнаружат себя посреди хаоса; развязанного восходящим криминальным гением; известным испуганным горожанам под именем Джокер., Кристофер Нолан, Кристофер Нолан;  Джонатан Нолан;  Дэвид С. Гойер; ...,Кристиан Бэйл; Хит Леджер; Аарон Экхарт; Мэгги Джилленхол; Гари Олдман,'https://st.kp.yandex.net/images/film_iphone/iphone360_111543.jpg'
